podloga,rezultat,broj_asova,duple_servis_greske,broj_servis_poena ,ubacenih_prvih_servisa,osvojenih_prvih_servisa,osvojenih_drugih_servisa,broj_servis_gemova,sacuvanih_brejk_lopti,suocenih_brejk_lopti,nivo_takmicenja,best_of,pobedio,sacuvanih_br_lopti_modified
Hard,6-4 6-7(4) 6-3,0.102,0.045,88,0.682,0.867,0.607,5.333,0,0,R64,3,1,1
Hard,6-4 7-6(6),0.024,0.024,85,0.506,0.698,0.548,5.5,0.857,7,R64,3,1,0.857
Hard,7-6(5) 6-4,0.057,0.043,70,0.6,0.762,0.571,5.5,0.5,2,R64,3,1,0.5
Hard,6-2 6-7(4) 7-6(2),0.048,0.038,105,0.648,0.809,0.514,5.333,0.857,7,R32,3,1,0.857
Hard,7-6(6) 6-4,0.277,0.024,83,0.627,0.769,0.613,5.5,1,4,R32,3,1,1
Hard,5-7 7-6(5) 6-3,0.033,0.022,92,0.663,0.787,0.71,5.333,0,1,R32,3,1,1
Hard,6-2 6-2,0.184,0.053,38,0.658,0.96,0.615,4,0,0,R32,3,1,1
Hard,4-6 6-3 7-6(2),0.114,0.057,105,0.543,0.772,0.521,5.333,0.714,7,R32,3,1,0.714
Hard,7-5 6-2,0.222,0.037,54,0.685,0.784,0.529,5,0.667,3,R32,3,1,0.667
Hard,7-5 6-4,0.034,0,58,0.655,0.842,0.65,5.5,1,1,R32,3,1,1
Hard,4-6 6-2 6-3,0.012,0.081,86,0.523,0.8,0.488,4.667,0.714,7,R32,3,1,0.714
Hard,4-6 7-6(2) 7-6(4),0.136,0.018,110,0.664,0.795,0.649,5.667,0.833,6,R32,3,1,0.833
Hard,7-6(4) 6-3,0.085,0.056,71,0.606,0.86,0.643,5.5,1,5,R32,3,1,1
Hard,7-5 6-4,0.174,0.014,69,0.638,0.75,0.76,5.5,1,6,R32,3,1,1
Hard,6-7(4) 6-4 6-4,0.135,0.077,104,0.587,0.754,0.558,5.333,0.667,3,R32,3,1,0.667
Hard,6-4 2-6 6-1,0.046,0.046,87,0.483,0.714,0.511,4,0.818,11,R32,3,1,0.818
Hard,6-4 3-6 7-6(5),0.108,0.063,111,0.604,0.687,0.455,5,0.7,10,R32,3,1,0.7
Hard,4-6 6-0 7-6(4),0.091,0.034,88,0.523,0.826,0.476,4.667,0.4,5,R32,3,1,0.4
Hard,6-2 6-0,0.116,0.07,43,0.674,0.828,0.357,3.5,0.5,2,R32,3,1,0.5
Hard,6-2 6-2,0.163,0.041,49,0.531,0.808,0.565,4,1,1,R16,3,1,1
Hard,7-6(8) 7-5,0.151,0,73,0.685,0.84,0.565,6,0.5,2,R16,3,1,0.5
Hard,7-5 5-7 6-4,0.069,0.046,87,0.529,0.804,0.585,5.667,0,2,R16,3,1,1
Hard,6-3 4-6 6-4,0.195,0.039,77,0.675,0.846,0.48,5,0,2,R16,3,1,1
Hard,3-6 6-3 6-4,0.129,0.071,85,0.635,0.796,0.452,4.667,0.833,6,R16,3,1,0.833
Hard,1-6 6-3 6-3,0.067,0.045,89,0.573,0.725,0.474,4,0.857,14,R16,3,1,0.857
Hard,7-6(5) 6-7(3) 6-4,0.104,0.038,106,0.632,0.821,0.59,5.667,1,2,R16,3,1,1
Hard,7-6(5) 4-6 6-4,0.198,0.044,91,0.648,0.831,0.406,5.333,0.25,4,QF,3,1,0.25
Hard,5-7 7-5 7-6(6),0.088,0.027,113,0.566,0.781,0.449,6,0.4,5,QF,3,1,0.4
Hard,6-4 6-7(5) 6-3,0.087,0.038,104,0.625,0.862,0.538,5.333,1,9,QF,3,1,1
Hard,6-3 4-6 6-3,0.08,0.034,87,0.575,0.8,0.405,4.667,0.5,6,QF,3,1,0.5
Hard,6-4 6-3,0.132,0.075,53,0.491,0.885,0.63,4.5,1,4,SF,3,1,1
Hard,6-3 6-4,0.245,0.019,53,0.547,0.862,0.667,5,0,0,SF,3,1,1
Hard,7-5 7-6(3),0.157,0.029,70,0.5,0.943,0.629,6,0,0,F,3,1,1
Grass,6-3 6-4,0.288,0.115,52,0.635,0.879,0.421,5,0.333,3,R32,3,1,0.333
Grass,6-3 6-4,0.148,0,61,0.656,0.775,0.619,5,1,3,R32,3,1,1
Grass,7-6(5) 6-2,0.186,0.051,59,0.627,0.757,0.591,5,0.6,5,R32,3,1,0.6
Grass,7-5 6-4,0.203,0.051,59,0.627,0.865,0.591,5.5,1,2,R32,3,1,1
Grass,6-2 3-6 6-3,0.101,0.038,79,0.62,0.714,0.633,4.333,0.833,6,R32,3,1,0.833
Grass,6-4 6-4,0.232,0,56,0.679,0.816,0.611,5,0,0,R32,3,1,1
Grass,6-4 6-2,0.279,0.023,43,0.558,0.958,0.684,4.5,0,0,R32,3,1,1
Grass,6-7(9) 6-4 7-6(4),0.078,0.026,115,0.583,0.761,0.583,5.667,0.6,5,R32,3,1,0.6
Grass,6-1 7-5,0.164,0.036,55,0.691,0.842,0.647,5,1,3,R32,3,1,1
Grass,6-3 6-4,0.423,0,52,0.731,0.842,0.714,5,1,1,R32,3,1,1
Grass,7-6(2) 6-7(11) 7-6(5),0.024,0.055,127,0.63,0.762,0.638,6,0.667,6,R32,3,1,0.667
Grass,6-4 6-2,0.039,0,51,0.745,0.789,0.692,4.5,1,2,R32,3,1,1
Grass,6-4 6-1,0.216,0.098,51,0.608,0.839,0.6,4.5,1,1,R16,3,1,1
Grass,6-2 6-4,0.043,0,47,0.745,0.714,1,4.5,0,0,R16,3,1,1
Grass,6-4 6-4,0.071,0.036,56,0.679,0.816,0.556,5,1,2,R16,3,1,1
Grass,7-6(1) 6-4,0.014,0.029,69,0.667,0.739,0.652,5.5,0.667,3,R16,3,1,0.667
Grass,6-1 3-6 6-3,0.028,0.014,71,0.676,0.75,0.522,4.333,0.667,6,R16,3,1,0.667
Grass,7-6(2) 7-6(3),0.077,0.051,78,0.692,0.852,0.625,6,1,2,R16,3,1,1
Grass,6-7(8) 6-4 6-2,0.126,0.011,87,0.828,0.792,0.733,5,1,2,R16,3,1,1
Grass,6-4 5-7 7-6(16),0.068,0.025,118,0.712,0.75,0.412,5.667,0.333,6,QF,3,1,0.333
Grass,7-6(4) 7-6(2),0.07,0.012,86,0.616,0.736,0.515,6,0.667,6,QF,3,1,0.667
Grass,6-1 7-6(4),0.029,0.029,69,0.609,0.786,0.593,5,1,5,QF,3,1,1
Grass,5-7 7-6(5) 6-4,0.06,0.06,134,0.575,0.74,0.474,5.667,0.667,9,SF,3,1,0.667
Grass,6-3 7-6(4),0.143,0.029,70,0.757,0.698,0.647,5.5,0.5,2,SF,3,1,0.5
Grass,7-6(2) 7-6(3),0.067,0.027,75,0.613,0.826,0.586,6,0.6,5,F,3,1,0.6
Clay,7-6(7) 6-4,0.013,0.013,76,0.632,0.729,0.429,5.5,0.4,5,R32,3,1,0.4
Clay,7-6(4) 6-2,0.049,0,82,0.476,0.821,0.488,5,1,8,R32,3,1,1
